vaksin_00768	Sebenere aku dom kasihan mas, tp mung dikatutke puskesmas kono wae nggo vaksin
vaksin_01591	Saya pribadi lebih percaya bu siti fadilah yg menyatakan covid itu ada dan memang menyeramkan, dan percaya bahwa memang pandemi ini dirancang utk jualan vaksin. Tp ya kan udh terjadi ya jd ikutin aja permainan si jualan vaksin ini karna memang virusnya ada dan harus dilawan.
vaksin_01592	Makanya selama pandemi jarang-jarang ku kasih berita-berita covid, pasti bikin parno. Paling sering-sering aja diingetin buat prokesnya, alhamdulilah nurut. Tinggal bujuk buat ikut vaksinnya aja ini yaAllah susah bener
vaksin_01600	Habis vaksin, kok malah makin parah Corona nih. Gak guna vaksin kontol
vaksin_01609	Buka-bukaan saja. Sebenarnya berapa proyeksi keuntungan Kimia Farma dari vaksin berbayar selama pandemi ini?
vaksin_01612	Belum vaksin bukan berarti anti vaksin, itu teknik marketinnya mereka aja. Kalo emang ga mau mereka viral ya ga usah dishare
vaksin_01613	Agak menarik masalah vaksin... Please jangan bully orang yg tidak mau vaksin..vaksin atau tidak itu adalah pilihan Bagaimana dgn anak2 dibawah usia 12 th yg belum ada vaksin...apakah kita memikirkannya?awal covid katanya virus ga menyerang anak tapi ada angka kematian pada anak
vaksin_01615	Perlu di ingat ada WNA yg tidak mudah dpt akses vaksin gratisan? Well kedowel .. mostly they’re well educated dan faham itu prokes. Dan mereka tamu, mereka akan faham jika Tuan Rumah sedang susah. Kan mudah saja mereka lari kembali ke negara asal. Kami peduli BUT WAIT..JUST WAIT!
vaksin_01616	Hehe Saya lebih ke kesediaan sih. Apapun profesinya. Kalo kita pengennya ambil opsi vaksin berbayar dan bersedia dg segala benefit dan resikonya, pasti akan mengusahakan.
vaksin_01619	Kata Presiden Jokowi Vaksin Gratis Gaeeessss.... Ndak Perlu Bayar.. Lha Kok Sekarang...
vaksin_01625	Aku dapat satu side effect vaksin ni. Lapar sepanjang masa
vaksin_01628	etdah bsok gua mau vaksin ish
vaksin_01629	vaksin apa
vaksin_01632	Paling terbaik buat satu Perancangan kerjaan tidak paya menunggu org ramai kedewan mesyarakat apa kiranya buka satu pusat dikampong kampong atau gunakan klinik kerajaan yang ada sekarang tempat org kampong menerima vaksin supaya satu kampong boleh dpt semua vaksin,
vaksin_01637	justru yg mampu harus bayar sebenarnya...yg ngga mampu di subsidi... spy ngga membebani apbd... kalau 1 vaksin 500rb. kali aja kalau 200 juta vaksin x 2x. brarti pemerintah harus sedia dana 200 trilyun. utk vaksin. bs bangkrut negara qt. pendapatan pajak lg turun begini skrg.
vaksin_01641	Dakwaaan Suntikan Vaksin Lepasi Tarikh Luput Tidak Benar – Khairy
vaksin_01645	nah betul ! kan yg berbayar sinopharm ya, bukan ngambil jatah dr vaksin gratis (sinovac, az, moderna) toh program gratis ttp jalan kok ga mandek , knp pd ribet sih
vaksin_01647	knapa singapore ga mau vaksin sinovak
vaksin_01650	Bangkrut dong juragan obat dan vaksin
vaksin_01653	vaksin kok bayar sih anj?????
vaksin_01654	TNI Kerahkan 30 Ribu Petugas Tracing dan Vaksin Covid-19
vaksin_01655	Pemerintah Indonesia Harus Tiru Filipina yang Melarang Keras Perdagangan Vaksin Covid-19
vaksin_01657	Kata ada allergik dengan ubat2. Tapi nak ambik pfizer vaksin. Baik takyah ambik terus. Lol
vaksin_01660	Aku vaksin hari ini, Ya Allah
vaksin_01663	Stop nyebar hoax, patuhi prokes, segera vaksin untuk warga yg memang bisa di vaksin biar kita bisa melindungi orang2 yg berhalangan untuk vaksin. Biar herd immunity segera terbentuk, kita bisa berdampingan dgn covid spt negara lain. Capek PPKM terus2an.
vaksin_01665	Direktur Eksekutif Lokataru Haris Azhar menilai kebijakan vaksin Covid-19 berbayar merupakan kesewenang-wenangan kekuasaan untuk mencari uang di tengah krisis.
vaksin_01667	WADOOO HARI INI GUE VAKSIN DEG DEGAN
vaksin_01670	Boleh share berita nya pak, yg bilang klo vaksin cina bikin tambah parah?
vaksin_01675	dr. Lois Owien membuat heboh soal dirinya gak percaya covid-19. Ia juga memberikan pernyataan kontroversial yang memicu perpecahan. Simak | Polemik Vaksin Berbayar, Siapa sih dr. Lois? Selengkapnya di sini
vaksin_01682	halo minn masukan aja soal sosialisasi vaksin di kota depok, utk saat ini beberapa hari terakhir org2 kesulitan utk mendapatkan vaksin covid19, katanya sudah full pendaftaran, gmn solusinya, mumpung masyarakatnya mau diajak bekerjasama utk vaksin covid
vaksin_01710	Woi,covid-19 tidak dapat diselesaikan untuk masa sekarang,dan juga jalan control case adalh yang terbaik iaitu vaksin semua orang malysia,
vaksin_01716	ga ngerti motivasi org kyk gt tuh apa, apa sbnrnya mrk takut sama covid ini jd bkn teori konspirasi aneh2 biar mrk ga takut lagi
